Variation,t_start_to_step_1,t_step_1_to_step_2,t_step_2_to_step_3,t_step_3_to_confirm,t_start_to_confirm,completed,level
Control,1.0973611111111112,0.8787735849056604,1.4514705882352943,2.6654513888888887,6.079122807017543,0.673202614379085,visit
Test,0.98162100456621,1.3531175059952039,1.7282716049382716,2.0953551912568305,6.304237288135593,0.7714285714285715,visit
Control,1.1221969696969696,0.885702614379085,1.4430134680134679,2.6976950354609928,6.122759856630824,0.73,visitor
Test,1.0402777777777779,1.3651282051282052,1.683525641025641,2.0953551912568305,6.304237288135593,0.8172413793103448,visitor
