metric,n,mean_delta,median_delta,std,p25,p75,min,max
t_start_to_step_1,60,-0.9622222222222222,-0.10833333333333334,3.8756709116866026,-0.3833333333333333,0.03333333333333334,-24.616666666666667,4.05
t_step_1_to_step_2,56,0.5035714285714284,0.09999999999999999,1.9919927190592321,-0.1541666666666667,0.4625,-1.7333333333333334,12.75
t_step_2_to_step_3,56,0.10431547619047618,-0.10833333333333328,1.504792001358358,-0.6875000000000002,0.2875,-3.083333333333333,6.316666666666666
t_step_3_to_confirm,50,-1.156,-0.9708333333333332,3.6936668388680216,-1.5125,-0.03541666666666668,-23.166666666666664,5.783333333333334
t_start_to_confirm,48,-1.753472222222222,-0.6833333333333331,6.234857977469253,-4.175,1.6416666666666666,-24.65,11.383333333333333
completed,85,0.0980392156862745,0.0,0.5138904660939282,0.0,0.0,-1.0,1.0
